transaction_id,user_id,category_id,amount,type,description,transaction_date
39,1,6,5000.00,expense,Electricity Bill,2026-01-08
40,1,5,3300.00,expense,Fuel,2026-01-15
41,1,7,1900.00,expense,Entertainment,2026-01-20
42,1,9,4800.00,expense,Shopping,2026-01-25
37,1,4,15000.00,expense,House Rent,2026-02-02
38,1,3,4100.00,expense,Groceries,2026-02-10
35,1,5,2900.00,expense,Fuel,2026-03-06
36,1,9,4200.00,expense,Shopping,2026-03-15
33,1,10,1500.00,expense,Miscellaneous,2026-04-07
34,1,3,3800.00,expense,Groceries,2026-04-15
31,1,8,2000.00,expense,Medicine,2026-05-12
32,1,7,2200.00,expense,Entertainment,2026-05-18
29,1,9,5500.00,expense,Shopping,2026-06-05
30,1,6,4800.00,expense,Electricity Bill,2026-06-10
27,1,3,4500.00,expense,Groceries,2026-07-03
28,1,5,3000.00,expense,Fuel,2026-07-08
12,1,4,15000.00,expense,House Rent,2026-08-02
13,1,5,3500.00,expense,Fuel and Transport,2026-08-03
14,1,6,5200.00,expense,Electricity Bill,2026-08-04
15,1,7,2500.00,expense,Entertainment,2026-08-05
16,1,8,2200.00,expense,Medicine,2026-08-06
17,1,9,4500.00,expense,Shopping,2026-08-07
18,1,10,1300.00,expense,Miscellaneous,2026-08-08
19,1,3,3200.00,expense,Groceries,2026-08-10
20,1,5,3000.00,expense,Fuel,2026-08-12
21,1,7,1800.00,expense,Movie,2026-08-14
22,1,9,3500.00,expense,Clothes,2026-08-16
23,1,8,1500.00,expense,Medicine,2026-08-18
24,1,10,1000.00,expense,Miscellaneous,2026-08-20
26,1,5,3200.00,expense,Fuel,2026-08-24
2,1,2,15000.00,income,Freelance Project,2026-09-02
3,1,3,5000.00,expense,Groceries,2026-09-03
4,1,4,15000.00,expense,House Rent,2026-09-04
5,1,9,3000.00,expense,kids shoping,2026-09-05
43,1,9,15000.00,expense,Shopping for kid,2026-09-07
8,1,8,1500.00,expense,Medicine,2026-09-08
10,1,2,1000.00,expense,Miscellaneous,2026-09-10
